FIELD,index,SPLUS_F378,SPLUS_F395,SPLUS_F410,SPLUS_F430,SPLUS_F515,SPLUS_F660,SPLUS_F861,SPLUS_G,SPLUS_I,SPLUS_R,SPLUS_U,SPLUS_Z
"SPLUS-n20s40",343,20.155,20.075,21.087,21.19,21.505,21.116,21.662,23.541,23.39,23.598,20.899,22.806
"STRIPE82-0001",344,20.193,20.16,21.164,21.286,21.551,21.167,21.71,23.614,23.437,23.624,20.981,22.873
"STRIPE82-0002",345,20.197,20.19,21.21,21.314,21.588,21.183,21.719,23.662,23.467,23.655,20.948,22.922
"STRIPE82-0003",346,19.472,19.508,20.61,20.743,20.862,20.349,20.884,22.969,22.643,22.851,20.205,22.122
"STRIPE82-0004",347,19.461,19.456,20.565,20.715,20.799,20.308,20.867,22.946,22.602,22.836,20.2,22.043
"STRIPE82-0005",348,19.462,19.478,20.577,20.716,20.864,20.352,20.877,22.977,22.616,22.847,20.207,22.039
"STRIPE82-0006",349,19.431,19.448,20.572,20.68,20.825,20.36,20.874,22.963,22.618,22.846,20.178,22.036
"STRIPE82-0007",350,19.44,19.469,20.557,20.699,20.843,20.342,20.868,22.958,22.613,22.834,20.189,22.04
"STRIPE82-0008",351,20.213,20.152,21.232,21.345,21.639,21.19,21.704,23.688,23.45,23.649,21.003,22.877
"STRIPE82-0009",352,19.492,19.502,20.592,20.736,20.858,20.354,20.873,22.97,22.616,22.839,20.197,22.044
"STRIPE82-0010",353,20.168,20.028,21.059,21.265,21.573,21.193,21.711,23.628,23.44,23.541,20.938,22.867
"STRIPE82-0011",354,20.072,20.086,21.122,21.25,21.549,21.157,21.695,23.612,23.422,23.613,20.788,22.818
"STRIPE82-0012",355,20.215,20.143,21.23,21.346,21.621,21.197,21.705,23.688,23.455,23.655,21.032,22.869
"STRIPE82-0013",356,19.469,19.525,20.6,20.728,20.859,20.344,20.886,22.974,22.624,22.839,20.192,22.066
"STRIPE82-0014",357,20.212,20.145,21.218,21.33,21.611,21.194,21.709,23.679,23.458,23.652,21.001,22.898
"STRIPE82-0015",358,19.472,19.479,20.587,20.75,20.879,20.359,20.875,22.98,22.62,22.844,20.208,22.046
"STRIPE82-0016",359,20.2,20.148,21.216,21.333,21.608,21.185,21.705,23.68,23.458,23.653,20.968,22.901
"STRIPE82-0017",360,20.11,20.068,21.126,21.248,21.555,21.15,21.669,23.619,23.396,23.621,20.813,22.809
"STRIPE82-0018",361,20.248,20.161,21.238,21.381,21.631,21.197,21.709,23.691,23.454,23.651,21.035,22.885
"STRIPE82-0019",362,19.495,19.512,20.6,20.736,20.869,20.358,20.884,22.972,22.623,22.853,20.212,22.037
"STRIPE82-0020",363,20.212,20.162,21.207,21.323,21.6,21.194,21.709,23.671,23.464,23.656,20.98,22.924
"STRIPE82-0021",364,19.48,19.493,20.59,20.742,20.86,20.35,20.876,22.969,22.613,22.839,20.189,22.05
"STRIPE82-0022",365,19.45,19.485,20.596,20.742,20.886,20.38,20.892,22.99,22.637,22.865,20.162,22.051
"STRIPE82-0023",366,19.476,19.504,20.592,20.73,20.86,20.35,20.875,22.969,22.622,22.843,20.192,22.074
"STRIPE82-0024",367,19.471,19.473,20.585,20.727,20.861,20.364,20.891,22.972,22.638,22.857,20.2,22.082
"STRIPE82-0025",368,20.164,20.009,21.162,21.377,21.634,21.198,21.712,23.712,23.459,23.662,21.028,22.886
"STRIPE82-0026",369,20.228,20.154,21.236,21.373,21.644,21.202,21.715,23.702,23.468,23.66,21.031,22.889
"STRIPE82-0027",370,19.461,19.523,20.598,20.736,20.866,20.351,20.88,22.979,22.622,22.843,20.193,22.062
"STRIPE82-0028",371,19.429,19.398,20.548,20.689,20.84,20.347,20.868,22.945,22.614,22.838,20.144,22.033
"STRIPE82-0029",372,20.255,20.193,21.238,21.353,21.633,21.199,21.711,23.703,23.459,23.664,21.041,22.889
"STRIPE82-0030",373,19.425,19.459,20.563,20.71,20.847,20.348,20.872,22.971,22.61,22.844,20.208,22.022
"STRIPE82-0031",374,19.498,19.528,20.615,20.77,20.884,20.379,20.896,22.991,22.638,22.86,20.234,22.075
"STRIPE82-0032",375,20.154,20.107,21.212,21.334,21.56,21.187,21.709,23.483,23.464,23.647,20.899,22.917
"STRIPE82-0033",376,19.506,19.519,20.606,20.768,20.884,20.372,20.901,22.995,22.636,22.859,20.206,22.068
"STRIPE82-0034",377,19.482,19.498,20.581,20.736,20.865,20.376,20.895,22.977,22.621,22.855,20.199,22.019
"STRIPE82-0035",378,19.482,19.491,21.174,21.276,21.544,21.161,21.687,22.98,22.65,22.86,20.211,22.132
"STRIPE82-0036",379,19.289,19.123,19.901,20.429,20.588,20.041,20.421,22.84,22.349,22.665,19.941,21.741
"STRIPE82-0037",380,19.491,19.549,20.604,20.752,20.873,20.356,20.887,22.976,22.622,22.844,20.208,22.086
"STRIPE82-0038",381,19.294,19.404,20.523,20.613,20.743,20.345,20.843,22.916,22.542,22.807,20.138,21.975
"STRIPE82-0039",382,19.48,19.541,20.607,20.768,20.881,20.367,20.895,22.982,22.629,22.86,20.212,22.053
"STRIPE82-0040",383,19.445,19.457,20.588,20.736,20.878,20.377,20.897,22.982,22.636,22.862,20.193,22.076
"STRIPE82-0041",384,20.114,20.135,21.15,21.304,21.56,21.173,21.703,23.633,23.441,23.631,20.817,22.848
"STRIPE82-0042",385,19.483,19.502,20.606,20.745,20.878,20.373,20.893,22.988,22.636,22.863,20.235,22.067
"STRIPE82-0043",386,20.227,20.212,21.239,21.331,21.612,21.184,21.718,23.681,23.47,23.653,20.988,22.935
"STRIPE82-0044",387,19.377,19.374,20.492,20.651,20.822,20.349,20.876,22.953,22.632,22.848,20.137,22.063
"STRIPE82-0045",388,19.477,19.512,20.62,20.763,20.864,20.355,20.883,22.982,22.63,22.847,20.202,22.072
"STRIPE82-0046",389,19.454,19.483,20.584,20.721,20.867,20.334,20.873,22.976,22.635,22.857,20.186,22.074
"STRIPE82-0047",390,19.379,19.465,20.575,20.711,20.869,20.357,20.89,22.88,22.494,22.74,20.073,21.945
"STRIPE82-0048",391,20.198,20.178,21.236,21.361,21.617,21.183,21.704,23.684,23.454,23.651,21.025,22.894
"STRIPE82-0049",392,20.233,20.242,21.255,21.384,21.629,21.194,21.716,23.694,23.458,23.653,20.983,22.912
"STRIPE82-0050",393,19.411,19.449,20.532,20.679,20.839,20.358,20.888,22.96,22.611,22.846,20.154,22.009
"STRIPE82-0051",394,19.488,19.504,20.595,20.744,20.866,20.354,20.885,22.97,22.623,22.854,20.195,22.05
"STRIPE82-0052",395,19.468,19.499,20.581,20.736,20.877,20.377,20.887,22.983,22.634,22.864,20.193,22.057
"STRIPE82-0053",396,19.464,19.498,20.586,20.745,20.861,20.354,20.88,22.967,22.619,22.84,20.193,22.057
"STRIPE82-0054",397,20.226,20.197,21.224,21.345,21.635,21.219,21.735,23.705,23.484,23.686,20.988,22.927
"STRIPE82-0055",398,20.236,20.239,21.235,21.36,21.622,21.191,21.717,23.699,23.458,23.656,20.991,22.907
"STRIPE82-0056",399,20.218,20.158,21.223,21.34,21.621,21.213,21.731,23.696,23.484,23.677,21.017,22.93
"STRIPE82-0057",400,19.49,19.499,20.602,20.747,20.879,20.364,20.888,22.987,22.632,22.857,20.216,22.065
"STRIPE82-0058",401,19.417,19.199,20.542,20.705,20.853,20.359,20.882,22.979,22.617,22.853,20.197,21.997
"STRIPE82-0059",402,19.465,19.509,20.568,20.724,20.866,20.359,20.888,22.972,22.643,22.857,20.183,22.102
"STRIPE82-0060",403,19.335,19.332,20.454,20.611,20.802,20.338,20.867,22.934,22.6,22.83,20.104,22.002
"STRIPE82-0061",404,20.248,20.228,21.251,21.37,21.633,21.205,21.737,23.705,23.476,23.673,20.99,22.927
"STRIPE82-0062",405,19.403,19.386,20.597,20.734,20.871,20.373,20.875,22.838,22.515,22.782,20.18,21.898
"STRIPE82-0063",406,19.454,19.495,20.587,20.741,20.852,20.349,20.877,22.97,22.622,22.847,20.202,22.07
"STRIPE82-0064",407,20.058,20.054,21.12,21.248,21.562,21.201,21.713,23.63,23.448,23.636,20.949,22.876
"STRIPE82-0065",408,20.236,20.206,21.232,21.36,21.621,21.194,21.723,23.694,23.471,23.667,20.964,22.89
"STRIPE82-0066",409,19.504,19.505,20.601,20.712,20.856,20.311,20.844,22.986,22.638,22.862,20.204,22.073
"STRIPE82-0067",410,20.233,20.228,21.241,21.368,21.623,21.19,21.728,23.695,23.461,23.663,20.964,22.886
"STRIPE82-0068",411,19.381,19.394,20.501,20.659,20.818,20.333,20.86,22.953,22.606,22.83,20.166,22.028
"STRIPE82-0069",412,19.458,19.484,20.594,20.729,20.863,20.354,20.884,22.982,22.622,22.844,20.192,22.064
"STRIPE82-0070",413,20.094,20.091,21.149,21.274,21.565,21.189,21.719,23.632,23.461,23.65,20.816,22.91
"STRIPE82-0071",414,20.212,20.199,21.206,21.338,21.599,21.186,21.726,23.663,23.472,23.662,20.947,22.931
"STRIPE82-0072",415,20.154,20.148,21.172,21.289,21.569,21.187,21.709,23.64,23.45,23.644,20.906,22.872
"STRIPE82-0073",416,20.204,20.203,21.215,21.321,21.591,21.186,21.724,23.661,23.472,23.671,20.957,22.913
"STRIPE82-0074",417,19.43,19.447,20.549,20.7,20.847,20.362,20.883,22.963,22.637,22.853,20.17,22.082
"STRIPE82-0075",418,20.255,20.238,21.242,21.354,21.605,21.185,21.706,23.675,23.442,23.659,20.99,22.839
"STRIPE82-0076",419,20.095,20.081,21.141,21.265,21.562,21.181,21.706,23.629,23.446,23.641,20.802,22.874
"STRIPE82-0077",420,19.444,19.468,20.589,20.73,20.858,20.352,20.868,22.969,22.604,22.842,20.179,22.019
"STRIPE82-0078",421,19.475,19.498,20.592,20.73,20.866,20.372,20.896,22.979,22.638,22.861,20.205,22.069
"STRIPE82-0079",422,20.106,20.079,21.091,21.175,21.425,21.115,21.678,22.973,22.624,22.845,20.218,22.069
"STRIPE82-0080",423,20.082,20.022,21.074,21.167,21.442,21.139,21.686,22.959,22.608,22.78,20.124,22.024
"STRIPE82-0081",424,19.493,19.567,20.618,20.775,20.863,21.145,21.682,22.975,22.622,22.843,20.204,22.072
"STRIPE82-0082",425,20.202,20.195,21.204,21.301,21.574,21.174,21.695,22.982,22.646,22.86,20.206,22.097
"STRIPE82-0083",426,20.18,20.176,21.186,21.317,21.573,21.176,21.693,22.979,22.628,22.859,20.198,22.083
"STRIPE82-0084",427,20.211,20.22,21.226,21.34,21.592,21.176,21.701,23.665,23.446,23.651,20.944,22.867
"STRIPE82-0085",428,19.529,19.665,20.649,20.809,20.877,20.342,20.869,22.987,22.617,22.854,20.18,22.055
"STRIPE82-0086",429,20.09,20.209,21.189,21.32,21.573,21.195,21.693,22.949,22.615,22.841,20.146,22.045
"STRIPE82-0087",430,19.443,19.42,20.551,20.695,20.789,20.235,20.784,22.881,22.541,22.776,20.169,21.972
"STRIPE82-0088",431,19.415,19.42,20.559,20.684,20.802,20.302,20.804,22.896,22.571,22.805,20.782,22.01
"STRIPE82-0089",432,19.452,19.489,20.579,20.715,20.806,20.297,20.814,22.904,22.559,22.792,20.939,22.001
"STRIPE82-0090",433,19.435,19.459,20.564,20.694,20.807,20.294,20.823,22.888,22.561,22.781,20.146,22.0
"STRIPE82-0091",434,19.459,19.516,20.589,20.738,20.838,20.323,20.839,22.905,22.569,22.802,20.174,22.008
"STRIPE82-0092",435,18.702,18.979,20.173,20.496,20.602,20.139,20.789,22.841,22.01,22.573,19.83,21.275
"STRIPE82-0093",436,19.469,19.47,20.568,20.708,20.823,20.311,20.835,22.925,22.569,22.812,20.198,21.981
"STRIPE82-0094",437,18.057,17.931,18.873,18.921,18.992,18.284,18.753,21.77,21.346,21.619,19.126,20.745
"STRIPE82-0095",438,19.408,19.456,20.573,20.726,20.839,21.146,20.86,22.863,22.527,22.785,20.094,21.951
"STRIPE82-0096",439,20.07,20.048,21.046,21.147,21.419,21.108,21.646,23.481,23.365,23.555,20.825,22.779
"STRIPE82-0097",440,20.236,20.213,21.211,21.325,21.568,21.145,21.661,23.633,23.399,23.616,20.988,22.815
"STRIPE82-0098",441,20.151,20.089,21.131,21.232,21.491,21.132,21.656,23.563,23.405,23.604,20.951,22.785
"STRIPE82-0099",442,19.477,19.48,20.594,20.719,20.832,20.33,20.835,22.935,22.568,22.805,20.189,21.999
"STRIPE82-0100",443,20.223,20.185,21.196,21.308,21.59,21.166,21.71,23.647,23.433,23.638,21.0,22.866
"STRIPE82-0101",444,19.437,19.464,20.565,20.703,20.837,20.326,20.847,22.932,22.588,22.813,20.19,22.029
"STRIPE82-0102",445,20.213,20.162,21.205,21.32,21.607,21.174,21.711,23.662,23.44,23.646,20.988,22.87
"STRIPE82-0103",446,20.246,20.198,21.225,21.333,21.61,21.187,21.735,23.673,23.453,23.655,21.024,22.886
"STRIPE82-0104",447,20.21,20.162,21.195,21.31,21.595,21.09,21.563,23.635,23.315,23.624,20.985,22.699
"STRIPE82-0105",448,19.455,19.487,20.567,20.704,20.835,20.33,20.871,22.943,22.626,22.832,20.202,22.094
"STRIPE82-0106",449,20.211,20.166,21.223,21.32,21.604,21.185,21.7,23.648,23.444,23.638,20.985,22.905
"STRIPE82-0107",450,19.417,19.436,20.539,20.685,20.822,20.332,20.854,22.917,22.584,22.809,20.135,22.02
"STRIPE82-0108",451,19.454,19.471,20.581,20.714,20.855,20.364,20.885,22.958,22.611,22.838,20.191,22.035
"STRIPE82-0109",452,19.475,19.517,20.595,20.655,20.854,20.369,20.886,22.961,22.614,22.851,20.21,22.059
"STRIPE82-0110",453,19.453,19.477,20.593,20.733,20.862,20.361,20.886,22.96,22.62,22.846,20.191,22.053
"STRIPE82-0111",454,20.239,20.201,21.229,21.346,21.61,21.173,21.701,23.681,23.444,23.65,21.023,22.901
"STRIPE82-0112",455,20.24,20.241,21.239,21.35,21.622,21.201,21.73,23.687,23.468,23.674,20.992,22.909
"STRIPE82-0113",456,19.49,19.482,20.591,20.725,20.858,20.35,20.886,22.965,22.612,22.848,20.231,22.031
"STRIPE82-0114",457,19.444,19.503,20.57,20.725,20.854,20.352,20.885,22.953,22.617,22.842,20.155,22.047
"STRIPE82-0115",458,19.478,19.499,20.601,20.748,20.876,20.365,20.891,22.973,22.627,22.852,20.204,22.058
"STRIPE82-0116",459,19.395,19.125,20.495,20.642,20.859,20.364,20.892,22.96,22.612,22.849,20.203,22.017
"STRIPE82-0117",460,19.423,19.492,20.593,20.723,20.854,20.35,20.883,22.94,22.515,22.748,20.096,22.048
"STRIPE82-0118",461,19.473,19.479,20.596,20.731,20.87,20.368,20.891,22.961,22.631,22.851,20.202,22.059
"STRIPE82-0119",462,20.215,20.143,21.21,21.325,21.618,21.194,21.709,23.666,23.451,23.649,21.028,22.891
"STRIPE82-0120",463,19.474,19.462,20.596,20.738,20.88,20.365,20.887,22.976,22.629,22.859,20.221,22.065
"STRIPE82-0121",464,20.18,19.499,20.603,20.742,20.871,20.368,20.897,22.963,22.607,22.845,20.191,22.017
"STRIPE82-0122",465,20.156,20.044,21.146,21.271,21.529,20.806,21.638,23.57,23.327,23.555,20.926,22.787
"STRIPE82-0123",466,19.474,19.481,20.589,20.716,20.851,20.353,20.89,22.967,22.642,22.853,20.225,22.103
"STRIPE82-0124",467,20.21,20.175,21.213,21.324,21.61,21.176,21.702,23.667,23.444,23.648,20.981,22.897
"STRIPE82-0125",468,20.248,20.195,21.245,21.342,21.614,21.173,21.715,23.665,23.453,23.645,21.016,22.91
"STRIPE82-0126",469,19.404,19.495,20.569,20.72,20.851,20.353,20.88,22.939,22.625,22.843,20.043,22.065
"STRIPE82-0127",470,20.189,20.171,21.161,21.259,21.549,21.135,21.676,23.594,23.415,23.612,20.947,22.837
"STRIPE82-0128",471,20.207,20.166,21.211,21.325,21.614,21.19,21.731,23.672,23.467,23.663,21.0,22.908
"STRIPE82-0129",472,20.201,19.494,20.589,20.726,20.853,20.354,20.883,22.971,22.637,22.856,20.948,22.092
"STRIPE82-0130",473,19.429,19.434,20.557,20.7,20.854,20.361,20.884,22.963,22.63,22.855,20.182,22.058
"STRIPE82-0131",474,20.252,20.254,21.248,21.372,21.625,21.175,21.705,23.687,23.451,23.653,21.012,22.895
"STRIPE82-0132",475,20.226,20.185,21.222,21.345,21.615,21.202,21.731,23.681,23.467,23.67,21.01,22.908
"STRIPE82-0133",476,19.48,19.503,20.572,20.725,20.853,20.351,20.885,22.969,22.624,22.853,20.197,22.053
"STRIPE82-0134",477,19.453,19.443,20.566,20.719,20.864,20.369,20.894,22.973,22.631,22.866,20.183,22.056
"STRIPE82-0135",478,20.242,20.229,21.215,21.334,21.582,21.171,21.707,23.646,23.45,23.654,20.982,22.878
"STRIPE82-0136",479,19.478,19.503,20.591,20.737,20.857,20.357,20.886,22.969,22.628,22.85,20.192,22.068
"STRIPE82-0137",480,20.268,20.243,21.26,21.376,21.633,21.205,21.733,23.698,23.471,23.68,21.041,22.91
"STRIPE82-0138",481,19.467,19.493,20.607,20.751,20.874,20.311,20.584,22.961,22.626,22.85,20.167,22.044
"STRIPE82-0139",482,20.246,20.191,21.203,21.319,21.476,21.109,21.581,23.554,23.351,23.58,20.986,22.857
"STRIPE82-0140",483,20.21,20.168,21.231,21.338,21.603,21.178,21.706,23.669,23.452,23.654,20.989,22.904
"STRIPE82-0141",484,19.479,19.516,20.596,20.734,20.856,20.353,20.88,22.963,22.64,22.85,20.213,22.124
"STRIPE82-0142",485,19.444,19.481,20.562,20.717,20.849,20.355,20.885,22.96,22.61,22.845,20.188,22.019
"STRIPE82-0143",486,19.448,19.481,20.574,20.714,20.843,20.342,20.87,22.956,22.61,22.835,20.186,22.045
"STRIPE82-0144",487,20.21,20.125,21.226,21.352,21.622,21.206,21.712,23.69,23.455,23.663,21.001,22.879
"STRIPE82-0145",488,19.49,19.507,20.594,20.73,20.857,20.355,20.878,22.973,22.617,22.852,20.208,22.078
"STRIPE82-0146",489,20.233,20.163,21.236,21.361,21.623,21.193,21.703,23.69,23.449,23.659,20.983,22.887
"STRIPE82-0147",490,19.445,19.443,20.561,20.715,20.838,20.323,20.864,22.949,22.606,22.832,20.149,22.046
"STRIPE82-0148",491,19.465,19.525,20.613,20.747,20.866,20.364,20.89,22.982,22.634,22.861,20.183,22.067
"STRIPE82-0149",492,19.471,19.5,20.591,20.729,20.857,20.35,20.884,22.966,22.627,22.846,20.187,22.073
"STRIPE82-0150",493,20.212,20.144,21.21,21.314,21.606,21.196,21.721,23.674,23.472,23.662,20.999,22.912
"STRIPE82-0151",494,19.503,19.517,20.598,20.746,20.866,20.351,20.88,22.975,22.62,22.847,20.219,22.071
"STRIPE82-0152",495,20.215,20.148,21.202,21.313,21.588,21.186,21.703,23.659,23.444,23.654,20.988,22.842
"STRIPE82-0153",496,19.48,19.495,20.617,20.759,20.877,20.372,20.893,22.989,22.643,22.866,20.243,22.097
"STRIPE82-0154",497,20.181,19.635,21.115,21.177,21.025,21.119,21.631,23.582,23.38,23.463,20.973,22.812
"STRIPE82-0155",498,19.477,19.516,20.611,20.768,20.879,20.368,20.892,22.985,22.63,22.858,20.231,22.062
"STRIPE82-0156",499,20.237,20.14,21.234,21.34,21.624,21.187,21.697,23.687,23.442,23.649,21.021,22.856
"STRIPE82-0157",500,19.476,19.509,20.601,20.738,20.862,20.365,20.888,22.98,22.637,22.85,20.214,22.11
"STRIPE82-0158",501,19.444,19.468,20.575,20.7,20.839,20.346,20.875,22.954,22.609,22.836,20.183,22.045
"STRIPE82-0159",502,19.398,19.334,20.5,20.699,20.86,20.246,20.667,22.703,22.545,22.793,20.112,22.001
"STRIPE82-0160",503,19.44,19.373,20.399,20.486,20.678,20.203,20.773,22.962,22.597,22.843,20.182,22.044
"STRIPE82-0161",504,20.239,20.188,21.244,21.286,21.582,21.136,21.615,23.674,23.323,23.636,20.994,22.683
"STRIPE82-0162",505,19.465,19.501,20.595,20.74,20.872,20.363,20.883,22.973,22.619,22.85,20.182,22.047
"STRIPE82-0163",506,19.484,19.506,20.6,20.75,20.867,20.358,20.816,22.981,22.632,22.853,20.209,22.073
"STRIPE82-0164",507,20.235,20.172,21.251,21.348,21.625,21.214,21.706,23.69,23.459,23.654,21.01,22.891
"STRIPE82-0165",508,19.46,19.479,20.577,20.725,20.851,20.351,20.87,22.972,22.61,22.844,20.182,22.033
"STRIPE82-0166",509,20.102,20.021,21.188,21.247,21.188,21.162,21.674,23.607,23.402,23.58,20.998,22.779
"STRIPE82-0167",510,19.398,19.416,20.537,20.709,20.844,20.339,20.856,22.962,22.598,22.833,20.197,22.017
"STRIPE82-0168",511,20.223,20.15,21.226,21.337,21.605,21.194,21.717,23.668,23.461,23.655,21.005,22.896
"STRIPE82-0169",512,19.482,19.49,20.601,20.74,20.841,20.318,20.804,22.968,22.63,22.85,20.219,22.076
"STRIPE82-0170",513,20.192,20.11,21.188,21.297,21.583,21.2,21.703,23.652,23.445,23.643,20.918,22.863
